plateifu,mangaid,dr7objid,ra,dec
8995-6104,1-188844,587731870170152964,176.508,55.419624
8995-1901,1-189197,587731870170218563,176.944,55.39003
8144-3704,1-152384,587731872846119241,115.16322,27.611193
8144-3703,1-152563,587731872846446685,115.65019,28.261312
8145-12702,1-152618,587731872846512593,115.96357,28.35778
8145-12704,1-152587,587731872846774643,116.23938,28.927519
8146-6103,1-152566,587731872846971217,116.526054,29.210823
8146-12702,1-152596,587731872847102157,116.8357,29.412928
8936-6101,1-152806,587731872847560859,117.60498,30.225698
8936-9101,1-152830,587731872847626576,117.684616,30.346378
9184-12704,1-153103,587731872848871564,119.738335,32.61227
8146-3702,1-604816,587731873383776325,116.11041,29.269402
8936-1902,1-152632,587731873383973132,116.492615,29.715378
8936-3701,1-152763,587731873384170032,116.8258,30.065514
8144-3701,1-152675,587731873920385336,115.31559,29.134644
8936-12702,1-152720,587731873921171623,116.63527,30.490751
8146-12703,1-152719,587731873921171790,116.605064,30.44051
8936-6103,1-152936,587731873921827151,117.672295,31.642408
8977-3704,1-153038,587731873922416832,118.77439,32.72866
9184-12703,1-153018,587731873922416983,118.58497,32.774643
8977-9102,1-153082,587731873922678975,119.20069,33.25439
8977-12705,1-153246,587731873922679072,119.04426,33.245197
9184-3703,1-153247,587731873922744710,119.3653,33.25794
8144-1902,1-152474,587731874456928610,114.457954,28.65291
8936-6102,1-152700,587731874458173953,116.53438,31.019945
8977-6104,1-153035,587731874459549750,118.809525,33.353218
8977-3703,1-153254,587731874459681001,119.02305,33.744537
9485-12705,1-153627,587731874461188154,121.77991,36.233467
9485-3704,1-605037,587731874461450288,122.24746,36.68751
9183-12705,1-153938,587731874461974650,123.106094,37.73021
8145-6104,1-152567,587731885731480041,116.5117,28.878077
8936-12705,1-152579,587731885731938481,117.31792,29.664783
8144-12701,1-152389,587731886267433360,114.83589,27.360704
8937-12701,1-152770,587731886268940493,117.146286,30.154383
8936-9102,1-152777,587731886268940643,117.11645,30.069092
8936-12701,1-152791,587731886269071880,117.397804,30.416626
8936-3703,1-604846,587731886269202658,117.54391,30.685087
9184-3701,1-153077,587731886270185773,119.222,32.34558
9184-9102,1-153207,587731886270578939,119.85883,32.96903
8249-3702,1-155558,587731886278639660,137.03264,45.920956
8249-6101,1-155463,587731886278836344,137.56248,46.29327
8144-6104,1-152524,587731886804697590,115.04837,28.394638
9184-1902,1-153248,587731886807318676,119.26793,33.088997
9184-3702,1-153086,587731886807318730,119.343025,33.062405
9184-1901,1-153224,587731886807384341,119.391335,33.121437
8249-9101,1-155440,587731886815445156,136.4765,46.259117
8144-9102,1-152666,587731887342092781,115.3656,29.669178
8936-1901,1-152742,587731887342878898,116.7716,30.936811
8977-9101,1-153028,587731887343796327,118.31986,32.543747
8439-12701,1-155978,587731911500365998,143.00995,48.55115
8439-1902,1-156061,587731911500562550,143.69702,48.747597
8439-3704,1-156039,587731911500693595,143.94064,49.02324
8439-12705,1-156062,587731912037433507,143.28801,49.05033
8439-12702,1-155926,587731913110847523,141.53929,49.31021
8252-3702,1-156011,587732048409002110,144.05983,48.745705
8439-6101,1-156074,587732048945676484,143.18445,48.796402
8439-9102,1-156037,587732048945873059,143.7539,48.976707
8249-6103,1-155456,587732049480384567,136.79388,46.211147
8439-6102,1-155975,587732049482547238,142.77815,49.07976
8439-1901,1-155903,587732050556027001,141.19025,49.44482
8439-3703,1-156158,587732050557141117,144.47601,50.989082
8458-1902,1-217358,587732052711768159,147.03566,44.797256
8149-9101,1-145884,587732053235990875,118.62575,26.915297
8147-9102,1-145894,587732053236121646,118.8528,26.986311
8149-3703,1-145920,587732053236383836,119.35682,27.440384
8149-12704,1-145922,587732053236384121,119.314384,27.496017
8149-6102,1-145963,587732053236646197,119.88474,27.941828
8461-1901,1-217412,587732053247656049,144.1044,43.847652
8458-9101,1-217376,587732053248377062,146.09184,44.71079
8937-9102,1-146360,587732053773779426,119.91009,28.746088
8938-1902,1-146292,587732053774237828,120.69966,29.469841
8440-3704,1-605571,587732053780988012,134.74846,39.748837
8440-3701,1-216520,587732053780988018,134.81595,39.68533
8440-6102,1-216980,587732053781446688,135.72003,40.346684
8440-3703,1-216958,587732053781577879,136.20029,40.591717
8250-6101,1-217221,587732053782626546,138.75305,42.024437
8250-1902,1-217324,587732053783216209,140.21849,42.7088
8250-6103,1-217326,587732053783216351,140.28938,42.68687
8461-6103,1-217400,587732053784854639,144.63994,44.62672
8147-1902,1-145741,587732054309273629,117.177475,26.539768
8147-12702,1-145842,587732054309666889,117.87002,27.202145
8147-12705,1-604856,587732054309732732,117.98206,27.302944
8147-6104,1-145856,587732054309929461,118.38375,27.742743
8938-6102,1-146344,587732054310977550,120.06707,29.471432
8938-3704,1-146420,587732054311239940,120.712906,29.964426
8938-9102,1-146463,587732054311829905,121.8861,30.812454
8440-9101,1-216779,587732054317793412,134.27348,40.013687
8440-12701,1-216540,587732054318121026,135.06508,40.296753
8440-3702,1-216805,587732054318383326,135.70062,40.787014
8247-6103,1-217050,587732054318841911,136.71999,41.408253
8440-12703,1-605638,587732054318842110,136.74834,41.440598
8247-6102,1-217060,587732054318842146,136.82542,41.388428
8247-12705,1-217069,587732054318973153,137.0681,41.639206
8250-3701,1-217304,587732054319693873,138.9686,42.401516
8250-12702,1-217331,587732054320218374,140.35963,43.102173
8250-12705,1-147394,587732054320283817,140.39879,43.257206
8147-12701,1-145783,587732054846079454,116.75957,26.776482
8440-12702,1-216984,587732054855123188,135.06544,40.91797
8440-9102,1-217017,587732054855516179,136.01933,41.356487
8440-12704,1-217018,587732054855516293,136.14232,41.39782
8247-6101,1-217022,587732054855581710,136.0896,41.481735
8440-1901,1-217015,587732054855581711,136.11417,41.48621
8250-3703,1-217300,587732054857023535,139.73994,43.50056
8458-3704,1-545621,587732134301532272,147.85504,44.923687
8456-12703,1-147485,587732134302908552,151.82915,46.54641
8453-1902,1-147488,587732134303367245,153.21419,46.91282
8452-3702,1-148127,587732134304350361,156.29799,47.739117
8999-3702,1-576235,587732134306578454,163.43387,49.498886
8999-12702,1-148652,587732134306709605,163.96175,49.678112
8948-6103,1-148949,587732134307102776,165.19826,49.901886
8948-12703,1-148855,587732134307364963,166.07501,50.034103
8948-6104,1-149270,587732134307954801,168.3009,50.264626
8947-9101,1-149200,587732134308085812,168.7345,50.334866
8947-3701,1-149211,587732134308151366,168.94777,50.4016
8997-3701,1-149170,587732134308610201,170.56229,50.74233
8992-9101,1-149563,587732134308872281,171.4623,50.671646
8997-12705,1-149507,587732134309068827,172.15611,50.827423
8992-6102,1-149512,587732134309134385,172.31836,50.953373
8992-1902,1-149501,587732134309527616,173.72108,51.091454
8989-12704,1-149730,587732134310183101,176.2242,51.26698
8456-1901,1-147547,587732134839648390,151.21678,46.69002
8456-9102,1-147546,587732134839648471,151.23395,46.72369
8453-12701,1-147514,587732134839713797,151.30994,46.6509
8456-3703,1-147548,587732134839713955,151.31126,46.752937
8453-9102,1-147522,587732134840107116,152.51476,47.120934
8453-6102,1-147496,587732134840303765,153.21362,47.29495
8999-6101,1-148649,587732134843646131,164.0003,49.95284
8999-6102,1-148987,587732134843842577,164.55154,50.21344
8999-3703,1-148621,587732134843842616,164.66264,50.190346
8999-6103,1-148615,587732134843908245,164.79361,50.263752
8999-12705,1-148599,587732134843908272,164.98618,50.123775
8999-6104,1-148597,587732134843973749,165.16179,50.201424
8948-9101,1-148914,587732134844170364,165.77698,50.341183
8948-3701,1-612565,587732134844301469,166.2484,50.382095
8947-6103,1-149235,587732134845218827,169.34624,51.013393
8997-3702,1-149172,587732134845546503,170.53947,51.130432
8947-6104,1-149580,587732134845612067,170.80344,51.18588
8947-12704,1-149147,587732134845677639,171.10263,51.23493
8997-3704,1-149557,587732134845874207,171.77902,51.13166
8996-6101,1-149882,587732134846201936,172.88167,51.41062
8453-12702,1-147537,587732135376715969,151.54774,47.295017
8453-9101,1-147649,587732135376912599,152.04608,47.51747
8948-12701,1-149054,587732135380975762,165.40834,50.832222
8948-3703,1-149067,587732135381106779,165.8333,50.75535
8997-6101,1-149470,587732135382482997,170.63416,51.533146
8992-3702,1-149561,587732135382745141,171.65724,51.573063
8992-12703,1-149887,587732135383072828,172.79855,51.698067
8996-12702,1-149678,587732135919878159,172.36789,52.225677
8997-12701,1-149686,587732135919878277,172.49207,52.183105
8996-3701,1-149683,587732135919943714,172.71085,52.207695
8991-9101,1-150337,587732135921057834,176.83415,52.48849
8991-9102,1-150397,587732135921451077,178.37743,52.689445
8458-3703,1-545674,587732136449081520,146.83395,46.610085
8996-12701,1-149610,587732136456421498,171.1597,52.533398
8997-12702,1-149621,587732136456487055,171.39409,52.546413
8996-3704,1-149709,587732136457011245,173.41287,52.67458
8991-3703,1-150302,587732136457732275,176.0228,52.857964
8991-1902,1-150328,587732136457863203,176.56726,52.89753
8991-12704,1-150387,587732136458190850,177.65213,52.928467
8996-12703,1-149622,587732136993554575,171.98164,53.002018
8995-12705,1-150370,587732136995127351,177.84454,53.444168
8459-12701,1-166739,587732151495819362,147.37898,42.130264
8459-12705,1-166738,587732152033017946,148.11708,42.819126
8459-1902,1-167067,587732152033149053,148.50252,43.044777
8726-12703,1-163511,587732152555602007,116.595985,23.093222
8456-12705,1-167169,587732152571134074,151.28445,44.513935
8454-3703,1-167423,587732152572706852,156.0406,45.834927
8461-12702,1-166672,587732153106104379,145.72414,42.793217
8461-9101,1-166691,587732153106170010,146.04732,42.900055
8461-12701,1-558175,587732153106366599,146.48323,43.045128
8461-12703,1-166754,587732153106628666,147.3258,43.351753
8459-3703,1-166947,587732153106694197,147.335,43.443047
8461-3703,1-166959,587732153106694254,147.44833,43.547745
8459-6104,1-167044,587732153107349678,149.34688,44.15477
8454-9102,1-167627,587732153109184693,154.59447,45.954693
8461-3702,1-166670,587732153643040774,145.66734,43.167065
8459-12704,1-167075,587732153643761760,147.60483,44.040653
8459-6101,1-167080,587732153643761779,147.7123,44.030453
8459-1901,1-167079,587732153643761797,147.80177,44.00931
8459-12703,1-167113,587732153644155051,148.84169,44.44052
8456-9101,1-167360,587732153645269117,151.96559,45.607346
8458-12704,1-166908,587732154180567143,147.35545,44.33885
8456-12702,1-167148,587732154181484658,149.96829,45.2831
8456-1902,1-167334,587732154182205449,151.8948,46.09396
8456-6103,1-167342,587732154182271064,152.13008,46.051548
8453-12705,1-167564,587732154182533264,153.03448,46.29369
8453-3701,1-167380,587732154182598744,153.23192,46.41768
8726-3701,1-217617,587732156313240165,115.74026,22.046307
8726-12701,1-163516,587732156313305095,115.717026,22.112724
8726-6103,1-163531,587732156313567774,116.17925,22.677671
8940-12701,1-163887,587732156315533729,119.708694,25.746252
8941-1902,1-163917,587732156315861174,120.31164,26.333172
8940-12703,1-163912,587732156315861368,120.2677,26.344152
8941-12704,1-163907,587732156316319995,121.15899,26.941347
8941-6103,1-163908,587732156316385567,121.331245,27.0712
8940-12702,1-163966,587732156852797482,120.08743,26.613525
8940-3702,1-163992,587732156852797539,120.033195,26.706774
8941-3701,1-163965,587732156852797555,120.05959,26.698
8726-1901,1-163594,587732157387309111,115.49429,23.176376
8149-1902,1-163989,587732157389734187,119.92387,27.003517
8941-3702,1-164148,587732157389799444,120.007996,27.114555
8147-6103,1-164053,587732157926277648,119.0395,26.87578
8149-6101,1-163894,587732469846179935,120.65559,26.29356
8149-6104,1-163925,587732469846376548,120.97036,26.61468
8149-3701,1-164007,587732470382723268,119.79267,26.086658
8940-9101,1-163959,587732470382854542,119.98391,26.382942
8147-6102,1-163831,587732470919201121,118.62782,25.815987
8941-9101,1-163975,587732470919987560,120.20311,26.986248
8149-12702,1-164109,587732471456727538,119.60925,27.161522
8941-12701,1-164062,587732471456989779,120.06362,27.589876
8454-12704,1-167519,587732482203451521,153.91466,44.656868
8993-3702,1-173397,587732482206924829,164.71574,47.302525
8946-6104,1-174074,587732482208563458,170.28854,48.041676
8319-3702,1-234004,587732482216886355,198.74313,48.19467
8319-12705,1-234618,587732482217869458,202.12845,47.714066
8980-3704,1-235976,587732482225209386,224.20592,41.596416
8980-6102,1-236106,587732482225602727,225.20345,41.160755
8461-12705,1-166488,587732482737504475,145.86154,42.18679
8461-9102,1-166703,587732482737635499,146.20677,42.293785
8459-9102,1-167013,587732482738946205,149.88884,43.66054
8947-12701,1-614456,587732482745696368,171.02705,48.696266
8947-6101,1-174036,587732482745827437,171.30052,48.735783
8990-9101,1-174390,587732482746548485,173.93317,49.037632
8990-6101,1-174781,587732482746613920,174.15268,49.06305
8990-3704,1-174384,587732482746613983,174.0221,48.95502
8465-1901,1-234115,587732482753298444,197.44582,48.89958
8319-3703,1-234362,587732482754412670,201.28331,48.344494
8325-3701,1-235018,587732482756968596,209.42441,46.714443
8325-1902,1-235257,587732482758017121,212.72992,46.06183
8329-12704,1-235203,587732482758344947,213.78368,45.594856
8329-1901,1-235530,587732482758541415,214.42215,45.465828
8329-1902,1-629695,587732482758672511,214.72939,45.356678
8980-9101,1-235986,587732482761687114,223.39735,42.447247
8980-3701,1-235983,587732482761752682,223.63641,42.385433
8980-12705,1-235988,587732482761883787,223.98402,42.15984
8461-6102,1-166862,587732483274506407,145.99709,42.632854
8461-12704,1-166826,587732483274702987,146.35799,42.806187
8459-6102,1-166969,587732483275292688,147.99066,43.41405
8456-6101,1-167166,587732483276406824,151.22092,44.63612
8456-12701,1-167167,587732483276406861,151.19131,44.70577
8454-12702,1-167242,587732483276996689,153.049,45.142174
8454-9101,1-167403,587732483277324415,153.92383,45.36708
8454-6104,1-167488,587732483277651999,154.82544,45.813583
8452-1901,1-167688,587732483277979683,155.88556,46.05775
8452-12705,1-609412,587732483278635061,157.93767,46.67169
8990-12705,1-174631,587732483283353738,173.53757,49.25455
8989-12701,1-174952,587732483284140257,176.32686,49.649742
8465-6103,1-233721,587732483289907203,196.49574,49.362373
8465-6104,1-234272,587732483290235091,197.81696,49.279602
8325-12702,1-234997,587732483293904933,209.89513,47.14765
8325-3703,1-235270,587732483294756948,212.52957,46.43952
8325-1901,1-235239,587732483294822572,212.79646,46.390564
8326-12702,1-235575,587732483295412365,214.72638,45.95835
8326-3704,1-235582,587732483295477807,214.85022,45.90078
8326-1902,1-235587,587732483295477821,214.85463,45.864246
8980-12704,1-236133,587732483299279003,225.59251,41.92173
8980-6101,1-236081,587732483299541164,226.3192,41.741444
9871-6101,1-236268,587732483300130856,227.86378,41.089977
8461-1902,1-166646,587732483811115152,144.8091,42.729908
8459-3702,1-166919,587732483811770503,146.70908,43.423847
8459-6103,1-166930,587732483811770549,146.78604,43.420338
8459-3701,1-166932,587732483811836028,146.78575,43.510536
8456-3704,1-167141,587732483813015678,150.22844,44.764786
8454-3702,1-167392,587732483814260921,153.75864,45.952114
8990-9102,1-615921,587732483820355662,173.92964,49.737835
8990-12704,1-174895,587732483820617849,174.74808,49.77809
8319-6103,1-234632,587732483828285515,201.7774,49.04932
8319-9101,1-234341,587732483828482202,202.53348,48.89328
8326-9102,1-235611,587732483832676356,215.94083,45.93119
8980-3703,1-236150,587732483836346531,226.48676,42.226223
9871-6103,1-236158,587732483836543040,226.98927,41.902348
9871-12702,1-593698,587732483837067338,228.28072,41.26463
8315-12701,1-560834,587732483839557898,234.55458,38.17259
8461-3701,1-166613,587732484347920512,144.51598,42.974323
8458-12705,1-166892,587732484348903501,147.1818,44.081425
8458-6102,1-606105,587732484349100076,147.66434,44.331123
8458-12702,1-167089,587732484349100124,147.60483,44.25736
8454-6103,1-167356,587732484350738559,152.45853,45.850918
8453-3704,1-167582,587732484351393899,154.48082,46.60324
8452-6101,1-167610,587732484351525006,154.83636,46.550213
8452-12701,1-167678,587732484351787130,155.55139,46.893856
8452-12704,1-172986,587732484352311342,157.35707,47.23342
8452-3704,1-173030,587732484352377022,157.53897,47.278397
8990-12703,1-174880,587732484357357758,174.24667,50.22433
8989-12702,1-175169,587732484358078603,176.86894,50.431377
8989-3702,1-174982,587732484358078745,176.81145,50.50164
8989-3701,1-174979,587732484358144009,176.95433,50.40536
8989-3703,1-617323,587732484358275093,177.44037,50.527004
8989-9102,1-175184,587732484358275159,177.52438,50.467445
8989-12705,1-175185,587732484358340737,177.64717,50.579334
8319-6104,1-234629,587732484365221906,202.21722,49.48249
8325-3702,1-235136,587732484367515800,209.8321,47.95622
8326-12701,1-235398,587732484368498789,213.14919,47.253048
8980-6103,1-236039,587732484372496398,224.7525,43.407707
8980-1901,1-236032,587732484372627468,225.10417,43.287
8980-12703,1-236144,587732484373020805,226.21175,42.73452
9871-9102,1-236303,587732484374069408,228.98264,41.431126
8456-12704,1-167337,587732484887150681,150.84286,45.763542
8456-6102,1-167336,587732484887281810,151.28415,45.97798
8453-3703,1-167555,587732484888133723,153.7526,46.756763
8452-6103,1-172962,587732484889051191,156.73894,47.52434
8452-6104,1-172987,587732484889182394,157.18149,47.679
8948-9102,1-173904,587732484891934835,166.15796,49.67575
8948-1902,1-173903,587732484892000379,166.31195,49.658886
8948-6102,1-173898,587732484892065921,166.48732,49.750996
8947-3703,1-174629,587732484893769969,172.57426,50.430393
8989-6102,1-174904,587732484894621882,175.55676,50.681515
8989-6104,1-175200,587732484895408250,178.46246,51.031166
8325-9101,1-235186,587732484904583358,210.84274,48.253094
8325-12704,1-320324,587732484904976503,211.99174,47.906403
8326-6102,1-235576,587732484905959447,215.01788,47.121338
9871-3701,1-236176,587732484910219492,227.36043,42.595448
8997-9101,1-187006,587733079198662698,170.48763,52.962788
8996-12704,1-188309,587733079199383658,173.04614,53.30609
9000-6102,1-187436,587733079735664763,170.88399,53.468193
8996-6102,1-187394,587733079736254496,173.00089,53.71405
9000-12703,1-188303,587733079736254633,173.01926,53.575985
8309-12701,1-196597,587733079745560618,208.2891,51.81251
8309-6102,1-196580,587733079745560674,208.50797,51.904964
9000-9101,1-187554,587733080272011392,168.74376,53.624928
9000-9102,1-187505,587733080272339024,169.83157,53.688213
9000-3703,1-187495,587733080272339080,169.92688,53.716072
9000-12701,1-187034,587733080272404615,170.18248,53.72706
9000-12704,1-187404,587733080273059964,172.6146,54.02846
9000-1901,1-614567,587733080809668634,171.40067,54.38255
8995-3704,1-188165,587733080810717226,175.60205,54.774174
8995-6101,1-188753,587733080810782805,175.93832,54.84549
8995-12702,1-188218,587733080810782889,175.94759,54.7082
8995-1902,1-189145,587733080811045010,176.90216,54.75115
9000-6103,1-187324,587733081346080797,169.61057,54.46554
9000-3702,1-187355,587733081346211852,170.0131,54.536793
8995-3703,1-188530,587733081347653654,175.81781,55.27767
8309-12704,1-196929,587733081356304477,209.50882,53.017097
8995-9101,1-188803,587733081884655727,176.12424,55.57775
9864-3701,1-197166,587733397024145419,213.88718,50.181038
9033-3702,1-198029,587733397026832484,222.33759,47.417538
9033-1901,1-198036,587733397026897935,222.53838,47.31692
9033-6102,1-198007,587733397027094667,223.01466,47.0778
9870-3702,1-198949,587733397566390304,229.9346,44.321854
9034-3703,1-198226,587733398101950614,226.80275,46.308304
9034-12705,1-198664,587733398102212631,227.53665,46.10468
9034-3704,1-198663,587733398102212760,227.57564,46.065548
9037-12701,1-199210,587733398104506559,233.65294,43.03936
8309-12705,1-196861,587733398633709633,211.03468,52.07487
9864-3702,1-197230,587733398634496141,213.87595,51.498543
8597-12701,1-198373,587733398637772919,224.10951,48.009727
9034-6103,1-198461,587733398638100614,225.20094,47.663216
9034-1901,1-198237,587733398638624889,226.7235,47.056953
9870-6102,1-198885,587733398640459926,231.51553,44.533623
8551-6101,1-198869,587733398640722036,232.19673,44.279827
8597-3703,1-198182,587733399174709274,224.74963,48.409843
9034-6104,1-198501,587733399175233644,226.09256,47.686687
8551-6102,1-198859,587733399177592922,232.68105,44.62722
9870-12703,1-198831,587733399177658502,232.76106,44.55975
9037-3701,1-199415,587733399178379432,234.46289,43.501297
9037-12705,1-569199,587733399178510462,234.7647,43.323025
9038-3701,1-199730,587733399179362453,236.87498,42.029835
8309-6104,1-197044,587733399707451535,211.78064,52.96374
8591-9102,1-197045,587733399707582573,212.09708,52.91782
8591-3704,1-197218,587733399708106826,213.83484,52.345898
8591-1902,1-197287,587733399708369001,214.83594,52.13889
9864-6104,1-197292,587733399708369014,214.86801,52.135376
9864-6103,1-197307,587733399708434539,215.06732,52.15612
9864-1902,1-197278,587733399708631169,215.582,51.810932
8595-6102,1-197704,587733399709810824,219.59326,50.69624
8597-9102,1-198196,587733399711645844,225.19965,48.60755
9037-3702,1-199449,587733399715250274,234.84251,43.86547
9037-3704,1-199454,587733399715315809,235.17665,43.751255
9038-3702,1-199750,587733399716298795,237.51955,42.308636
9038-1902,1-199756,587733399716692161,238.3578,41.70081
8309-6103,1-197013,587733399975755924,211.2996,53.115536
9864-12701,1-197186,587733409909309526,213.7153,50.40233
9033-6103,1-197946,587733409912520810,223.58374,47.006214
9034-12701,1-198353,587733409912979613,225.05896,46.43624
9870-12705,1-199283,587733409915601007,231.93399,43.068924
9872-3703,1-199287,587733409915666444,231.99112,42.97119
9872-3701,1-633000,587733409916125191,233.2319,42.438236
8309-1902,1-196863,587733410445131853,210.60217,51.686962
9864-3704,1-197092,587733410446704722,215.78351,50.221375
9033-3703,1-197968,587733410448998501,222.93488,47.865757
9033-6104,1-198395,587733410449391640,224.02036,47.45347
9034-6102,1-198704,587733410450243779,226.52002,46.369606
8552-6104,1-198600,587733410451161338,229.05208,45.233074
9870-3704,1-198879,587733410452078700,231.27435,44.05341
9870-9102,1-199224,587733410452799661,233.16563,43.0578
9864-3703,1-197121,587733410983379075,215.4108,50.753574
8595-1902,1-197717,587733410984493119,218.9268,49.632366
8595-6101,1-197718,587733410984493237,219.0312,49.720345
8597-3701,1-197867,587733410986459230,224.83553,47.56706
9034-3702,1-198233,587733410986918113,226.28038,46.96367
9034-1902,1-198238,587733410986983615,226.4361,46.788624
9034-12702,1-198718,587733410987180160,226.93398,46.678432
9034-12704,1-198212,587733410987311206,227.37653,46.49267
9870-6101,1-199360,587733410989474001,233.06625,43.62934
9870-6104,1-199384,587733410989605024,233.44156,43.445724
8309-12702,1-196737,587733411517825161,207.36844,53.24604
9864-6102,1-197270,587733411520053419,215.1173,51.46316
9864-9102,1-197456,587733411520708739,217.15758,50.76765
9864-12705,1-197454,587733411520708747,217.122,50.690037
8595-3701,1-197534,587733411521232979,218.89726,50.18999
8595-9102,1-197770,587733411521822821,220.68518,49.67575
8597-1902,1-198125,587733411522674872,223.3912,48.6988
9034-9101,1-198505,587733411523657890,226.16412,47.436512
9870-3703,1-199321,587733411526213807,232.94133,44.108124
9037-6101,1-199396,587733411526475879,233.63965,43.63692
9037-6102,1-199407,587733411526672578,234.02794,43.40729
8309-3701,1-196753,587733412055023636,208.60516,53.45998
9864-12704,1-197264,587733412056858839,215.05606,51.722565
9864-6101,1-197280,587733412057055303,215.75208,51.709564
8595-3702,1-197702,587733412058103934,219.04276,50.51882
8597-12702,1-198153,587733412059807861,224.28906,48.633976
8597-3704,1-198180,587733412059873417,224.61581,48.492374
9034-12703,1-198747,587733412061118608,228.30824,47.102303
9870-9101,1-199368,587733412063019103,233.28342,44.53569
9870-1902,1-199340,587733412063019177,233.16508,44.534187
9037-9101,1-199432,587733412063608934,234.62045,43.733257
9038-12702,1-199742,587733412064723046,237.40935,42.03422
9038-3704,1-199743,587733412064723076,237.49371,42.07833
9038-1901,1-199744,587733412064788716,237.37984,41.960327
9038-12704,1-199741,587733412064788726,237.46298,42.02804
8309-3704,1-197017,587733412592615491,211.4683,53.128986
8591-6102,1-197063,587733412593008707,212.956,52.81672
8591-1901,1-245405,587733412593205400,213.52011,52.66327
8595-12701,1-197805,587733412595433569,220.8214,50.495842
9865-9101,1-198159,587733412596285574,223.5629,49.430527
8592-3702,1-207984,587733427086426193,220.16042,53.478035
8592-1902,1-208393,587733428160823410,222.94426,53.437996
8592-9101,1-631640,587733428161020041,223.61096,53.217445
8592-6104,1-208313,587733428161216676,224.33485,52.993458
8485-9101,1-209266,587733428164231205,233.10748,48.83327
8592-12703,1-207943,587733428697432206,222.50076,54.084507
8597-12705,1-246944,587733439970344990,225.97142,48.576065
8551-1901,1-247449,587733440509640751,232.88518,45.657593
8551-12705,1-247382,587733440510099528,233.94093,44.834812
8551-6104,1-247817,587733440510361759,234.63748,44.60094
9035-1902,1-247769,587733440510820644,235.89903,43.84222
9037-9102,1-247771,587733440510886054,235.9106,43.82483
9037-6104,1-247713,587733440511017023,236.21349,43.514057
9035-3704,1-247675,587733440511148120,236.67761,43.372475
9038-9101,1-248111,587733440511213884,236.77838,43.233765
9038-3703,1-248077,587733440511606924,237.671,42.638763
8551-9101,1-247430,587733441046446390,233.08653,45.89444
8551-12704,1-247417,587733441046577248,233.31937,45.69855
9037-12703,1-247758,587733441047625773,235.97958,44.305958
9035-3702,1-247755,587733441047625965,235.90152,44.1604
9035-12705,1-247739,587733441047757100,236.37746,44.016376
9035-6102,1-247674,587733441047953464,236.6544,43.683666
9036-3701,1-248003,587733441049002077,239.11357,42.101162
8313-12701,1-247977,587733441049198629,239.49185,41.792606
8313-9102,1-248357,587733441049395265,239.98795,41.47779
8313-12702,1-248388,587733441049657370,240.67738,41.197258
9035-6103,1-247747,587733441584562213,236.39557,44.43606
9036-1902,1-248133,587733441585152178,237.91158,43.6396
8313-3702,1-248328,587733441586004071,239.85648,42.26345
8313-1901,1-248352,587733441586200726,240.28712,41.880768
8313-3701,1-633587,587733441586594048,241.2356,41.357235
9035-9101,1-247861,587733442120843368,235.44702,45.556034
8551-9102,1-247882,587733442120974576,235.66928,45.43209
9035-12704,1-247897,587733442121171179,236.29875,45.154522
9035-12702,1-247911,587733442121302185,236.55843,44.964607
9036-6103,1-247664,587733442121760853,237.76122,44.27431
9036-9101,1-247661,587733442121826521,237.90375,44.226437
8313-12703,1-248348,587733442122940541,240.36586,42.38821
8979-6101,1-633608,587733442123399389,241.3664,41.649364
8979-6102,1-248420,587733442123596023,241.8234,41.403614
8485-6101,1-247331,587733442656469131,232.5449,47.821102
9036-3704,1-248214,587733442659614757,240.34703,43.08505
9036-9102,1-248213,587733442659680390,240.56932,42.916935
9036-12704,1-247975,587733442659746092,240.60168,42.757076
8592-12702,1-207982,587733603183755405,220.11673,53.59148
8592-3704,1-246212,587733603184083200,221.2761,53.188347
8592-12704,1-207914,587733603184410851,222.39458,52.967297
9035-12703,1-209439,587733603189850348,237.52199,45.33804
9036-12705,1-210159,587733603191423247,241.02988,42.808514
8979-12701,1-210173,587733603191619769,241.34177,42.488335
8979-1901,1-248443,587733603192013007,242.3186,41.74574
8604-6101,1-210895,587733603193323881,244.99083,39.57016
8485-1901,1-209232,587733603724624135,232.54475,48.690228
8485-6102,1-209175,587733603725148370,233.86542,47.99174
8485-9102,1-209199,587733603725213774,234.11157,47.854813
9031-12701,1-209823,587733603727245527,238.94852,44.668564
9031-12702,1-209744,587733603727704408,240.10341,43.934364
8979-6104,1-210116,587733603728752863,242.4513,42.334003
8313-6104,1-210112,587733603728949542,242.69576,41.983707
8312-12702,1-210923,587733603730194441,245.27086,39.91739
8312-12701,1-210866,587733603730522228,245.84235,39.21539
8604-6102,1-210863,587733603730587709,246.07346,39.211044
8592-1901,1-207925,587733604258087053,222.95984,53.6869
8592-3703,1-631680,587733604258545687,224.30899,53.15204
8485-12704,1-209287,587733604261757166,233.6852,48.731483
8485-12702,1-209151,587733604262150418,234.60464,48.055958
8486-12703,1-633225,587733604262674616,236.02963,47.29463
8486-3704,1-209607,587733604262805736,236.29933,47.049763
9036-1901,1-209786,587733604264247463,239.73671,44.76438
9036-3703,1-209772,587733604264313024,239.97496,44.709007
9031-12705,1-210186,587733604264837237,241.15097,43.87981
8600-6102,1-210447,587733604266475956,244.65842,41.13675
8603-9102,1-210844,587733604267393244,246.23863,39.53123
8550-3703,1-210802,587733604267589641,246.749,39.320126
