plateifu,mangaid,dr7objid,ra,dec
8243-1902,1-47224,587725550126497946,132.10365,53.91873
8243-3703,1-47223,587725550126563430,132.22183,53.989624
8721-3702,1-47948,587725550127153216,133.79796,54.928265
8135-3704,1-43505,587725550654587078,114.89733,37.75155
8135-6102,1-43099,587725550654652662,114.87262,37.820503
8713-3702,1-43137,587725550655635783,116.212906,39.862896
8140-3704,1-43933,587725550655963368,116.78572,40.392956
8143-1901,1-43629,587725550657077296,118.66022,42.54411
8718-12702,1-44379,587725550658322550,120.7007,45.03455
9487-6103,1-45089,587725550658715802,121.571365,45.778664
8718-6104,1-44633,587725550658715937,121.580696,45.74346
8243-3702,1-47302,587725550662910092,130.41432,53.281116
8243-3704,1-47290,587725550663237752,131.38164,53.95902
8243-12704,1-47291,587725550663237802,131.1673,53.951115
8724-6104,1-47499,587725550663499920,132.03757,54.309956
10001-9102,1-55552,587725550664876171,135.81819,56.6254
8135-6101,1-43148,587725551192178920,115.241295,39.37921
8566-12705,1-604818,587725551192703028,116.16141,40.366364
8713-12703,1-43338,587725551192703260,116.09849,40.343723
8140-9101,1-43381,587725551192965413,116.50713,40.87508
8140-12701,1-43654,587725551193227296,116.9303,41.386375
8141-6101,1-44100,587725551194603601,119.16592,44.101
8719-1902,1-44690,587725551195783250,121.307785,46.331654
8719-6101,1-44667,587725551195783402,121.35712,46.287395
8719-6104,1-44905,587725551196307695,122.205666,47.343044
8243-9101,1-46577,587725551199060054,128.17834,52.416767
8243-12701,1-46562,587725551199256712,128.6877,52.71568
8724-12701,1-47305,587725551199977587,130.33524,53.938652
8721-3701,1-47511,587725551200567444,132.11629,54.95291
8724-12703,1-48053,587725551200829458,132.59503,55.378723
8566-12701,1-43188,587725551729115598,114.88098,39.78889
8140-3703,1-43680,587725551730163930,116.576126,41.701645
8140-6103,1-43672,587725551730295009,116.787155,42.078693
8140-3702,1-43773,587725551730753666,117.41247,42.967056
8141-3701,1-44180,587725551731343552,118.3937,44.09541
8141-6102,1-44163,587725551731409003,118.64896,44.151814
8141-12704,1-44172,587725551731540222,118.79824,44.382145
8718-12701,1-44303,587725551731736880,119.18217,44.856712
